Weight,Length1,Length3,Species_Bream,Species_Parkki,Species_Perch,Species_Pike,Species_Roach,Species_Smelt,Species_Whitefish
290.0,24.0,29.2,0,0,0,0,1,0,0
430.0,26.5,34.0,1,0,0,0,0,0,0
700.0,34.0,38.3,0,0,1,0,0,0,0
500.0,42.0,48.0,0,0,0,1,0,0,0
110.0,19.0,22.5,0,0,1,0,0,0,0
110.0,19.1,23.1,0,0,0,0,1,0,0
650.0,31.0,38.7,1,0,0,0,0,0,0
110.0,20.0,23.5,0,0,1,0,0,0,0
200.0,30.0,34.8,0,0,0,1,0,0,0
6.7,9.3,10.8,0,0,0,0,0,1,0
9.7,10.4,12.0,0,0,0,0,0,1,0
120.0,20.0,23.5,0,0,1,0,0,0,0
13.4,11.7,13.5,0,0,0,0,0,1,0
135.0,20.0,23.5,0,0,1,0,0,0,0
340.0,29.5,37.3,1,0,0,0,0,0,0
115.0,19.0,22.5,0,0,1,0,0,0,0
7.5,10.0,11.6,0,0,0,0,0,1,0
975.0,37.4,45.9,1,0,0,0,0,0,0
100.0,16.2,19.2,0,0,1,0,0,0,0
1650.0,59.0,68.0,0,0,0,1,0,0,0
840.0,32.5,37.3,0,0,1,0,0,0,0
685.0,34.0,39.0,0,0,1,0,0,0,0
1550.0,56.0,64.0,0,0,0,1,0,0,0
1000.0,33.5,42.6,1,0,0,0,0,0,0
714.0,32.7,41.5,1,0,0,0,0,0,0
9.9,11.3,13.1,0,0,0,0,0,1,0
85.0,18.2,21.0,0,0,1,0,0,0,0
145.0,19.8,24.1,0,1,0,0,0,0,0
87.0,18.2,22.2,0,0,0,0,1,0,0
514.0,30.5,34.0,0,0,1,0,0,0,0
130.0,19.3,22.8,0,0,1,0,0,0,0
272.0,25.0,30.6,0,0,0,0,1,0,0
120.0,17.5,21.3,0,1,0,0,0,0,0
270.0,23.6,28.7,0,0,0,0,0,0,1
820.0,37.1,42.5,0,0,1,0,0,0,0
900.0,36.5,41.4,0,0,1,0,0,0,0
200.0,22.1,26.8,0,0,0,0,1,0,0
390.0,29.5,35.0,0,0,0,0,1,0,0
320.0,27.8,31.6,0,0,1,0,0,0,0
510.0,40.0,45.5,0,0,0,1,0,0,0
0.0,19.0,22.8,0,0,0,0,1,0,0
300.0,32.7,38.8,0,0,0,1,0,0,0
170.0,21.5,25.0,0,0,1,0,0,0,0
250.0,25.4,28.9,0,0,1,0,0,0,0
69.0,16.5,20.3,0,0,0,0,1,0,0
770.0,44.8,51.2,0,0,0,1,0,0,0
720.0,32.0,40.6,1,0,0,0,0,0,0
40.0,12.9,16.2,0,0,0,0,1,0,0
140.0,19.0,23.2,0,1,0,0,0,0,0
40.0,13.8,16.0,0,0,1,0,0,0,0
200.0,21.2,25.8,0,1,0,0,0,0,0
685.0,31.4,39.2,1,0,0,0,0,0,0
145.0,22.0,25.5,0,0,1,0,0,0,0
300.0,24.0,29.0,0,1,0,0,0,0,0
10.0,11.3,13.1,0,0,0,0,0,1,0
920.0,35.0,44.1,1,0,0,0,0,0,0
9.8,10.7,12.4,0,0,0,0,0,1,0
363.0,26.3,33.5,1,0,0,0,0,0,0
150.0,18.4,22.4,0,1,0,0,0,0,0
1000.0,41.1,46.6,0,0,1,0,0,0,0
950.0,48.3,55.1,0,0,0,1,0,0,0
260.0,25.4,28.9,0,0,1,0,0,0,0
700.0,31.9,40.5,1,0,0,0,0,0,0
150.0,21.0,24.5,0,0,1,0,0,0,0
170.0,19.0,23.2,0,1,0,0,0,0,0
600.0,29.4,37.2,1,0,0,0,0,0,0
120.0,20.0,23.5,0,0,1,0,0,0,0
1600.0,56.0,64.0,0,0,0,1,0,0,0
1100.0,40.1,45.5,0,0,1,0,0,0,0
5.9,7.5,8.8,0,0,1,0,0,0,0
90.0,16.3,19.8,0,1,0,0,0,0,0
475.0,28.4,36.2,1,0,0,0,0,0,0
180.0,23.0,26.5,0,0,1,0,0,0,0
567.0,43.2,48.7,0,0,0,1,0,0,0
197.0,23.5,27.0,0,0,1,0,0,0,0
700.0,34.5,39.4,0,0,1,0,0,0,0
32.0,12.5,14.7,0,0,1,0,0,0,0
8.7,10.8,12.6,0,0,0,0,0,1,0
820.0,36.6,41.3,0,0,1,0,0,0,0
250.0,25.9,29.4,0,0,1,0,0,0,0
12.2,12.1,13.8,0,0,0,0,0,1,0
306.0,25.6,30.8,0,0,0,0,0,0,1
650.0,36.5,41.4,0,0,1,0,0,0,0
925.0,36.2,45.3,1,0,0,0,0,0,0
390.0,27.6,35.0,1,0,0,0,0,0,0
1000.0,37.3,43.5,0,0,0,0,0,0,1
300.0,26.9,30.1,0,0,1,0,0,0,0
140.0,21.0,25.0,0,0,0,0,1,0,0
300.0,31.7,37.8,0,0,0,1,0,0,0
620.0,31.5,39.7,1,0,0,0,0,0,0
218.0,25.0,28.0,0,0,1,0,0,0,0
800.0,33.7,39.6,0,0,0,0,0,0,1
19.9,13.8,16.2,0,0,0,0,0,1,0
680.0,31.8,40.6,1,0,0,0,0,0,0
950.0,38.0,46.5,1,0,0,0,0,0,0
300.0,34.8,39.8,0,0,0,1,0,0,0
610.0,30.9,38.6,1,0,0,0,0,0,0
145.0,20.5,24.3,0,0,0,0,1,0,0
130.0,20.5,24.0,0,0,1,0,0,0,0
900.0,37.0,42.5,0,0,1,0,0,0,0
1100.0,39.0,44.6,0,0,1,0,0,0,0
161.0,22.0,26.7,0,0,0,0,1,0,0
700.0,30.4,38.5,1,0,0,0,0,0,0
540.0,40.1,45.8,0,0,0,1,0,0,0
556.0,32.0,36.5,0,0,1,0,0,0,0
150.0,20.4,24.7,0,0,0,0,1,0,0
340.0,23.9,31.1,1,0,0,0,0,0,0
160.0,20.5,25.3,0,0,0,0,1,0,0
500.0,26.8,34.5,1,0,0,0,0,0,0
540.0,28.5,34.0,0,0,0,0,0,0,1
575.0,31.3,39.5,1,0,0,0,0,0,0
150.0,20.5,24.0,0,0,1,0,0,0,0
955.0,35.0,44.0,1,0,0,0,0,0,0
850.0,32.8,41.6,1,0,0,0,0,0,0
725.0,31.8,40.9,1,0,0,0,0,0,0
1000.0,40.2,46.0,0,0,1,0,0,0,0
265.0,25.4,28.9,0,0,1,0,0,0,0
78.0,17.5,21.2,0,0,0,0,1,0,0
850.0,36.9,42.3,0,0,1,0,0,0,0
